HEADER,fixture,index,sourceNodes,syntacticRedexes,haltTag,microticks,mutations,address
ROW,period1_empty,42,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,739,0,
ROW,period1_empty,43,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,741,0,
ROW,period1_empty,44,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1187,1,
ROW,period1_empty,45,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1214,1,
ROW,period1_empty,46,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,739,0,
ROW,period1_empty,47,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,744,0,
ROW,period1_empty,48,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1193,1,
ROW,period1_empty,49,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1340,1,
ROW,period1_empty,50,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1105,1,L
ROW,period1_empty,51,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,739,0,
ROW,period1_empty,52,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,741,0,
ROW,period1_empty,53,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,744,0,
ROW,period1_empty,54,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,744,0,
ROW,period1_empty,55,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,732,1,LR
ROW,period1_empty,56,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1166,1,
ROW,period1_empty,57,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1175,1,
ROW,period1_empty,58,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1319,1,
ROW,period1_empty,59,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1114,1,L
ROW,period1_empty,60,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1316,1,
ROW,period1_empty,61,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1619,1,
ROW,period1_empty,62,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1117,1,L
ROW,period1_empty,63,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1112,1,L
ROW,period1_empty,64,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1247,1,LL
